Fault_Type,Fault_Location,Severity_Level,Module_Age_Years,Rectification_Action,Previous_Rectification_Action,Irradiance,Weather_Condition,Timestamp,String_Num,Panel_Num,Repair_Cost,Downtime_Hours,Energy_Loss_Cost,Total_Cost
Open Circuit,String-2_Panel-13,Low,3,Tighten Connection,Tighten Connection,802,Sunny,2023-01-01 21:00:00,2,13,38.93,0.51,0.028,38.958
Open Circuit,String-3_Panel-5,High,3,Replace Wiring,Replace Wiring,984,Cloudy,2023-01-01 21:00:00,3,5,158.53,2.19,0.094,158.624
Hotspot,String-3_Panel-6,High,13,Replace Panel Section,Reinstall Module,736,Rainy,2023-01-01 21:00:00,3,6,308.16,4.41,0.229,308.389
Short Circuit,String-2_Panel-6,Medium,1,Inspect Junction Box,Replace Fuse,786,Sunny,2023-01-01 21:00:00,2,6,62.86,0.86,0.037,62.897
Open Circuit,String-8_Panel-16,Critical,12,Replace Module,Replace Module,561,Sunny,2023-01-01 22:00:00,8,16,540.68,6.1,0.353,541.0329999999999
Short Circuit,String-6_Panel-8,Low,5,Inspect Junction Box,Inspect Cells,322,Sunny,2023-01-01 22:00:00,6,8,67.61,1.02,0.059,67.669
Shadowing,String-10_Panel-2,Critical,7,Replace Module,Reinstall Module,961,Sunny,2023-01-01 22:00:00,10,2,507.13,6.33,0.291,507.421
Shadowing,String-6_Panel-8,Medium,5,Remove Obstruction,Remove Obstruction,559,Rainy,2023-01-01 22:00:00,6,8,48.55,0.48,0.028,48.577999999999996
Shadowing,String-7_Panel-10,Low,7,Remove Obstruction,Clean Panel,272,Rainy,2023-01-01 22:00:00,7,10,51.95,0.47,0.025,51.975
Open Circuit,String-9_Panel-15,High,11,Replace Connector,Clean Panel,360,Rainy,2023-01-01 22:00:00,9,15,93.46,1.05,0.056,93.51599999999999
Hotspot,String-7_Panel-7,Low,9,Clean Panel,Remove Obstruction,708,Cloudy,2023-01-01 23:00:00,7,7,29.76,0.28,0.016,29.776
Open Circuit,String-9_Panel-8,Medium,9,Inspect Junction Box,Replace Connector,210,Rainy,2023-01-01 23:00:00,9,8,60.55,0.83,0.037,60.586999999999996
Hotspot,String-10_Panel-4,Low,6,Inspect Cells,Clean Panel,732,Sunny,2023-01-02 00:00:00,10,4,78.22,1.05,0.062,78.282
Short Circuit,String-5_Panel-19,Low,11,Replace Fuse,Inspect Cells,877,Rainy,2023-01-02 00:00:00,5,19,58.18,0.58,0.035,58.214999999999996
Short Circuit,String-6_Panel-9,Medium,4,Replace Fuse,Inspect Junction Box,952,Cloudy,2023-01-02 02:00:00,6,9,63.54,0.44,0.022,63.562
Open Circuit,String-4_Panel-14,Medium,11,Replace Wiring,Inspect Cells,759,Rainy,2023-01-02 02:00:00,4,14,138.6,1.92,0.102,138.702
Short Circuit,String-10_Panel-2,Low,8,Inspect Junction Box,Inspect Junction Box,839,Sunny,2023-01-02 03:00:00,10,2,60.33,1.05,0.059,60.388999999999996
Shadowing,String-10_Panel-12,High,10,Adjust Tilt,Remove Obstruction,869,Cloudy,2023-01-02 04:00:00,10,12,114.3,1.65,0.1,114.39999999999999
Hotspot,String-3_Panel-17,Medium,13,Replace Panel Section,Inspect Cells,852,Rainy,2023-01-02 05:00:00,3,17,306.44,4.11,0.235,306.675
Hotspot,String-5_Panel-15,High,8,Replace Module,Replace Panel Section,831,Cloudy,2023-01-02 06:00:00,5,15,586.63,5.83,0.257,586.887
Shadowing,String-3_Panel-7,High,10,Remove Obstruction,Tighten Connection,454,Rainy,2023-01-02 06:00:00,3,7,50.72,0.51,0.028,50.748
Hotspot,String-5_Panel-17,Low,11,Inspect Cells,Clean Panel,904,Rainy,2023-01-02 06:00:00,5,17,90.68,1.04,0.046,90.72600000000001
Hotspot,String-4_Panel-4,Medium,7,Inspect Cells,Inspect Cells,715,Rainy,2023-01-02 07:00:00,4,4,76.92,0.92,0.059,76.979
Shadowing,String-8_Panel-15,Low,5,Clean Panel,Replace Wiring,757,Sunny,2023-01-02 08:00:00,8,15,29.06,0.25,0.014,29.073999999999998
Open Circuit,String-5_Panel-9,Critical,3,Replace Module,Replace Fuse,641,Sunny,2023-01-02 08:00:00,5,9,510.76,4.94,0.265,511.025
Shadowing,String-10_Panel-1,Medium,10,Remove Obstruction,Remove Obstruction,813,Sunny,2023-01-02 09:00:00,10,1,51.25,0.55,0.03,51.28
Hotspot,String-4_Panel-9,Critical,1,Replace Module,Clean Panel,805,Cloudy,2023-01-02 10:00:00,4,9,641.22,6.3,0.351,641.571
Hotspot,String-7_Panel-2,Medium,6,Inspect Cells,Inspect Cells,285,Cloudy,2023-01-02 10:00:00,7,2,70.5,1.03,0.052,70.552
Hotspot,String-6_Panel-8,High,10,Replace Panel Section,Replace Panel Section,392,Cloudy,2023-01-02 11:00:00,6,8,309.37,3.71,0.158,309.528
Shadowing,String-6_Panel-14,Low,14,Remove Obstruction,Clean Panel,215,Rainy,2023-01-02 13:00:00,6,14,54.26,0.51,0.023,54.283
Hotspot,String-9_Panel-1,Low,10,Inspect Cells,Clean Panel,896,Sunny,2023-01-02 14:00:00,9,1,77.96,0.8,0.046,78.006
Shadowing,String-2_Panel-20,Critical,8,Replace Module,Clean Panel,265,Sunny,2023-01-02 15:00:00,2,20,517.76,7.27,0.44,518.2
Shadowing,String-4_Panel-14,High,12,Remove Obstruction,Adjust Tilt,306,Rainy,2023-01-02 15:00:00,4,14,53.93,0.47,0.022,53.952
Hotspot,String-9_Panel-11,Critical,14,Replace Module,Replace Module,561,Cloudy,2023-01-02 16:00:00,9,11,479.85,5.48,0.279,480.129
Short Circuit,String-6_Panel-18,Low,5,Inspect Junction Box,Clean Panel,424,Sunny,2023-01-02 16:00:00,6,18,65.4,1.1,0.055,65.45500000000001
Hotspot,String-10_Panel-18,High,2,Replace Module,Replace Panel Section,727,Cloudy,2023-01-02 17:00:00,10,18,558.75,6.28,0.341,559.091
Open Circuit,String-2_Panel-8,High,5,Replace Wiring,Replace Wiring,522,Rainy,2023-01-02 17:00:00,2,8,149.51,1.84,0.085,149.595
Short Circuit,String-6_Panel-20,Medium,7,Replace Fuse,Replace Fuse,805,Sunny,2023-01-02 18:00:00,6,20,57.82,0.43,0.028,57.848
Hotspot,String-3_Panel-20,Medium,11,Replace Panel Section,Tighten Connection,956,Cloudy,2023-01-02 21:00:00,3,20,324.42,4.76,0.302,324.72200000000004
Short Circuit,String-2_Panel-7,Low,1,Replace Fuse,Inspect Junction Box,982,Cloudy,2023-01-02 21:00:00,2,7,59.43,0.52,0.026,59.456
Open Circuit,String-6_Panel-8,Critical,10,Replace Module,Inspect Cells,804,Rainy,2023-01-02 22:00:00,6,8,529.13,5.7,0.291,529.421
Shadowing,String-2_Panel-18,High,7,Adjust Tilt,Replace Fuse,854,Sunny,2023-01-03 00:00:00,2,18,124.12,2.37,0.114,124.23400000000001
Open Circuit,String-4_Panel-14,Low,9,Tighten Connection,Inspect Junction Box,424,Sunny,2023-01-03 00:00:00,4,14,36.08,0.42,0.019,36.099
Hotspot,String-2_Panel-15,Medium,6,Inspect Cells,Inspect Cells,928,Sunny,2023-01-03 01:00:00,2,15,96.72,0.98,0.045,96.765
Short Circuit,String-9_Panel-12,Critical,2,Replace Module,Clean Panel,803,Sunny,2023-01-03 03:00:00,9,12,580.8,5.2,0.257,581.0569999999999
Short Circuit,String-8_Panel-18,Medium,14,Replace Fuse,Tighten Connection,268,Cloudy,2023-01-03 03:00:00,8,18,63.09,0.48,0.026,63.11600000000001
Shadowing,String-3_Panel-20,Critical,2,Reinstall Module,Reinstall Module,583,Cloudy,2023-01-03 05:00:00,3,20,197.38,3.12,0.148,197.528
Short Circuit,String-8_Panel-20,Low,14,Inspect Junction Box,Replace Connector,957,Sunny,2023-01-03 06:00:00,8,20,70.51,1.08,0.048,70.558
Open Circuit,String-6_Panel-14,Medium,2,Replace Wiring,Inspect Cells,973,Cloudy,2023-01-03 06:00:00,6,14,149.42,1.8,0.101,149.521
Hotspot,String-3_Panel-4,Medium,3,Inspect Cells,Inspect Cells,300,Sunny,2023-01-03 06:00:00,3,4,79.03,0.96,0.057,79.087
Short Circuit,String-2_Panel-5,Critical,3,Replace Module,Replace Module,889,Rainy,2023-01-03 08:00:00,2,5,464.82,6.02,0.271,465.091
Hotspot,String-7_Panel-13,Low,5,Inspect Cells,Replace Fuse,942,Rainy,2023-01-03 09:00:00,7,13,88.32,0.94,0.046,88.366
Open Circuit,String-10_Panel-7,High,11,Replace Wiring,Replace Wiring,317,Cloudy,2023-01-03 10:00:00,10,7,162.03,2.13,0.138,162.168
Short Circuit,String-10_Panel-2,Medium,5,Replace Fuse,Reinstall Module,365,Cloudy,2023-01-03 10:00:00,10,2,59.26,0.46,0.02,59.28
Shadowing,String-2_Panel-1,Medium,1,Remove Obstruction,Replace Module,393,Sunny,2023-01-03 11:00:00,2,1,50.97,0.51,0.023,50.993
Hotspot,String-10_Panel-2,Low,6,Clean Panel,Replace Fuse,537,Sunny,2023-01-03 14:00:00,10,2,30.22,0.31,0.02,30.24
Shadowing,String-5_Panel-5,Critical,6,Replace Module,Reinstall Module,337,Cloudy,2023-01-03 16:00:00,5,5,598.08,5.39,0.33,598.4100000000001
Shadowing,String-7_Panel-8,Critical,13,Replace Module,Reinstall Module,912,Rainy,2023-01-03 17:00:00,7,8,459.12,5.57,0.237,459.357
Shadowing,String-5_Panel-12,High,14,Adjust Tilt,Reinstall Module,740,Rainy,2023-01-03 18:00:00,5,12,131.58,1.83,0.112,131.692
Short Circuit,String-5_Panel-14,Medium,4,Replace Fuse,Replace Panel Section,452,Sunny,2023-01-03 18:00:00,5,14,49.69,0.49,0.028,49.717999999999996
Open Circuit,String-8_Panel-18,Medium,9,Replace Connector,Tighten Connection,693,Cloudy,2023-01-03 20:00:00,8,18,86.19,0.89,0.052,86.242
Shadowing,String-1_Panel-9,Critical,2,Reinstall Module,Inspect Cells,614,Sunny,2023-01-03 21:00:00,1,9,171.88,2.47,0.119,171.999
Shadowing,String-6_Panel-17,Low,10,Remove Obstruction,Clean Panel,713,Rainy,2023-01-04 00:00:00,6,17,44.85,0.43,0.027,44.877
Short Circuit,String-9_Panel-1,High,1,Replace Wiring,Replace Wiring,311,Rainy,2023-01-04 00:00:00,9,1,184.86,1.72,0.097,184.95700000000002
Short Circuit,String-7_Panel-8,High,5,Replace Wiring,Replace Panel Section,575,Rainy,2023-01-04 01:00:00,7,8,154.1,2.41,0.119,154.219
Open Circuit,String-6_Panel-8,Medium,9,Replace Wiring,Replace Connector,811,Sunny,2023-01-04 01:00:00,6,8,147.06,2.19,0.101,147.161
Open Circuit,String-8_Panel-9,High,4,Replace Wiring,Tighten Connection,224,Sunny,2023-01-04 02:00:00,8,9,145.49,1.97,0.088,145.578
Shadowing,String-7_Panel-13,Medium,2,Remove Obstruction,Replace Wiring,431,Rainy,2023-01-04 03:00:00,7,13,49.05,0.48,0.022,49.071999999999996
Hotspot,String-3_Panel-9,Critical,11,Replace Module,Replace Panel Section,419,Cloudy,2023-01-04 05:00:00,3,9,496.9,6.34,0.37,497.27
Open Circuit,String-5_Panel-19,Medium,6,Replace Connector,Replace Connector,213,Rainy,2023-01-04 06:00:00,5,19,91.12,1.04,0.056,91.176
Short Circuit,String-7_Panel-18,Critical,3,Replace Module,Replace Module,894,Rainy,2023-01-04 07:00:00,7,18,520.0,5.48,0.236,520.236
Shadowing,String-3_Panel-16,Medium,5,Remove Obstruction,Replace Connector,703,Sunny,2023-01-04 07:00:00,3,16,49.61,0.63,0.035,49.644999999999996
Shadowing,String-3_Panel-5,High,11,Adjust Tilt,Adjust Tilt,750,Cloudy,2023-01-04 07:00:00,3,5,123.7,1.82,0.093,123.793
Hotspot,String-4_Panel-17,Low,3,Inspect Cells,Clean Panel,737,Sunny,2023-01-04 07:00:00,4,17,86.78,0.87,0.054,86.834
Short Circuit,String-1_Panel-20,Critical,7,Replace Module,Replace Module,907,Sunny,2023-01-04 09:00:00,1,20,530.93,6.35,0.282,531.212
Hotspot,String-10_Panel-1,Medium,9,Replace Panel Section,Inspect Cells,749,Cloudy,2023-01-04 09:00:00,10,1,343.74,4.22,0.276,344.016
Short Circuit,String-10_Panel-13,Critical,1,Replace Module,Inspect Cells,627,Cloudy,2023-01-04 09:00:00,10,13,500.38,6.19,0.355,500.735
Shadowing,String-2_Panel-19,Low,12,Remove Obstruction,Clean Panel,390,Sunny,2023-01-04 10:00:00,2,19,48.83,0.49,0.027,48.857
Hotspot,String-5_Panel-14,Medium,12,Inspect Cells,Replace Fuse,639,Rainy,2023-01-04 11:00:00,5,14,86.04,1.18,0.062,86.102
Short Circuit,String-8_Panel-3,High,3,Replace Connector,Replace Wiring,405,Rainy,2023-01-04 12:00:00,8,3,88.29,1.02,0.049,88.33900000000001
Open Circuit,String-2_Panel-13,High,12,Replace Wiring,Replace Module,373,Rainy,2023-01-04 13:00:00,2,13,145.54,1.58,0.082,145.62199999999999
Hotspot,String-4_Panel-19,High,4,Replace Module,Replace Panel Section,279,Rainy,2023-01-04 13:00:00,4,19,591.86,4.9,0.249,592.109
Hotspot,String-8_Panel-1,High,7,Replace Panel Section,Replace Panel Section,452,Rainy,2023-01-04 14:00:00,8,1,311.59,3.97,0.232,311.822
Short Circuit,String-6_Panel-2,Critical,13,Replace Module,Clean Panel,577,Cloudy,2023-01-04 14:00:00,6,2,506.09,6.94,0.444,506.534
Hotspot,String-3_Panel-10,High,12,Replace Panel Section,Replace Panel Section,833,Cloudy,2023-01-04 14:00:00,3,10,364.35,4.57,0.25,364.6
Shadowing,String-2_Panel-15,Low,11,Remove Obstruction,Inspect Junction Box,425,Cloudy,2023-01-04 15:00:00,2,15,56.98,0.53,0.032,57.01199999999999
Hotspot,String-8_Panel-15,Low,4,Clean Panel,Clean Panel,340,Sunny,2023-01-04 15:00:00,8,15,29.29,0.3,0.015,29.305
Open Circuit,String-9_Panel-16,Low,8,Tighten Connection,Replace Panel Section,861,Rainy,2023-01-04 15:00:00,9,16,43.17,0.43,0.025,43.195
Open Circuit,String-3_Panel-20,High,9,Inspect Junction Box,Replace Wiring,700,Rainy,2023-01-04 15:00:00,3,20,68.93,1.14,0.051,68.98100000000001
Open Circuit,String-4_Panel-5,Low,6,Tighten Connection,Inspect Cells,909,Rainy,2023-01-04 17:00:00,4,5,45.83,0.54,0.035,45.864999999999995
Open Circuit,String-10_Panel-2,Low,10,Replace Wiring,Tighten Connection,866,Sunny,2023-01-04 19:00:00,10,2,149.2,1.72,0.105,149.30499999999998
Shadowing,String-5_Panel-12,High,13,Adjust Tilt,Clean Panel,952,Rainy,2023-01-04 19:00:00,5,12,134.51,2.15,0.132,134.642
Shadowing,String-10_Panel-19,High,12,Adjust Tilt,Adjust Tilt,961,Cloudy,2023-01-04 21:00:00,10,19,110.27,2.01,0.113,110.383
Open Circuit,String-1_Panel-13,Low,7,Tighten Connection,Remove Obstruction,691,Rainy,2023-01-04 22:00:00,1,13,37.85,0.52,0.029,37.879000000000005
Shadowing,String-4_Panel-18,Critical,11,Replace Module,Reinstall Module,491,Sunny,2023-01-04 22:00:00,4,18,545.32,4.35,0.237,545.557
Short Circuit,String-7_Panel-11,Low,14,Inspect Junction Box,Inspect Junction Box,258,Sunny,2023-01-04 23:00:00,7,11,70.4,1.05,0.056,70.456
Shadowing,String-3_Panel-5,Medium,10,Remove Obstruction,Tighten Connection,480,Cloudy,2023-01-04 23:00:00,3,5,41.75,0.46,0.021,41.771
Short Circuit,String-3_Panel-4,Low,7,Inspect Junction Box,Inspect Junction Box,383,Cloudy,2023-01-05 01:00:00,3,4,61.14,1.18,0.068,61.208
Open Circuit,String-7_Panel-15,Critical,7,Replace Module,Replace Wiring,328,Rainy,2023-01-05 01:00:00,7,15,555.22,5.59,0.325,555.5450000000001
Short Circuit,String-9_Panel-1,Critical,8,Replace Module,Replace Wiring,863,Cloudy,2023-01-05 02:00:00,9,1,564.45,6.17,0.372,564.822
Open Circuit,String-3_Panel-17,High,7,Replace Wiring,Inspect Cells,832,Sunny,2023-01-05 02:00:00,3,17,153.24,1.79,0.089,153.329
Open Circuit,String-8_Panel-4,High,12,Replace Wiring,Inspect Junction Box,383,Rainy,2023-01-05 04:00:00,8,4,148.17,2.09,0.135,148.30499999999998
Open Circuit,String-2_Panel-13,High,8,Replace Wiring,Remove Obstruction,371,Rainy,2023-01-05 04:00:00,2,13,137.3,1.97,0.117,137.417
Open Circuit,String-6_Panel-19,Critical,5,Replace Module,Replace Module,670,Sunny,2023-01-05 04:00:00,6,19,489.07,5.41,0.328,489.39799999999997
Open Circuit,String-1_Panel-20,High,9,Replace Wiring,Inspect Cells,663,Sunny,2023-01-05 06:00:00,1,20,160.13,2.0,0.132,160.262
Hotspot,String-6_Panel-14,High,4,Inspect Cells,Replace Fuse,973,Rainy,2023-01-05 07:00:00,6,14,90.83,1.1,0.049,90.879
Open Circuit,String-3_Panel-4,High,9,Replace Wiring,Replace Wiring,468,Rainy,2023-01-05 07:00:00,3,4,177.93,1.95,0.088,178.018
Open Circuit,String-7_Panel-20,Critical,1,Replace Module,Replace Connector,283,Sunny,2023-01-05 07:00:00,7,20,586.74,5.67,0.24,586.98
Shadowing,String-8_Panel-12,Medium,12,Remove Obstruction,Remove Obstruction,641,Sunny,2023-01-05 08:00:00,8,12,55.24,0.4,0.02,55.260000000000005
Short Circuit,String-6_Panel-6,Low,14,Inspect Junction Box,Clean Panel,277,Cloudy,2023-01-05 08:00:00,6,6,61.03,0.9,0.045,61.075
Shadowing,String-9_Panel-2,Critical,11,Replace Module,Reinstall Module,207,Rainy,2023-01-05 10:00:00,9,2,541.81,6.2,0.277,542.087
Open Circuit,String-1_Panel-11,Critical,14,Replace Module,Replace Module,993,Sunny,2023-01-05 11:00:00,1,11,423.9,6.04,0.295,424.195
Hotspot,String-10_Panel-3,Low,4,Remove Obstruction,Remove Obstruction,349,Cloudy,2023-01-05 11:00:00,10,3,51.84,0.54,0.036,51.876000000000005
Shadowing,String-1_Panel-18,Medium,2,Remove Obstruction,Replace Connector,241,Cloudy,2023-01-05 11:00:00,1,18,47.35,0.51,0.022,47.372
Short Circuit,String-3_Panel-10,Medium,3,Inspect Junction Box,Replace Fuse,604,Sunny,2023-01-05 11:00:00,3,10,71.28,1.06,0.051,71.331
Short Circuit,String-1_Panel-7,Low,5,Inspect Junction Box,Adjust Tilt,634,Sunny,2023-01-05 11:00:00,1,7,68.99,1.02,0.048,69.038
Shadowing,String-5_Panel-2,Low,6,Clean Panel,Replace Wiring,456,Sunny,2023-01-05 12:00:00,5,2,29.06,0.32,0.014,29.073999999999998
Hotspot,String-4_Panel-7,High,10,Replace Panel Section,Replace Panel Section,854,Rainy,2023-01-05 13:00:00,4,7,316.99,4.4,0.249,317.23900000000003
Short Circuit,String-4_Panel-18,Critical,10,Replace Module,Replace Module,801,Cloudy,2023-01-05 13:00:00,4,18,466.07,4.93,0.308,466.378
Hotspot,String-6_Panel-5,Low,6,Clean Panel,Clean Panel,308,Rainy,2023-01-05 15:00:00,6,5,28.37,0.33,0.021,28.391000000000002
Short Circuit,String-8_Panel-1,Low,2,Inspect Junction Box,Tighten Connection,571,Cloudy,2023-01-05 15:00:00,8,1,71.11,1.13,0.07,71.17999999999999
Short Circuit,String-1_Panel-15,High,1,Replace Wiring,Replace Module,734,Cloudy,2023-01-05 16:00:00,1,15,149.17,2.32,0.133,149.303
Open Circuit,String-3_Panel-10,Low,12,Replace Wiring,Tighten Connection,224,Sunny,2023-01-05 16:00:00,3,10,139.95,1.86,0.111,140.06099999999998
Open Circuit,String-8_Panel-15,Low,10,Replace Wiring,Inspect Junction Box,616,Sunny,2023-01-05 16:00:00,8,15,139.34,1.91,0.113,139.453
Open Circuit,String-5_Panel-13,High,7,Replace Wiring,Replace Wiring,801,Cloudy,2023-01-05 17:00:00,5,13,170.65,1.67,0.072,170.722
Hotspot,String-3_Panel-5,Critical,8,Replace Module,Reinstall Module,392,Cloudy,2023-01-05 17:00:00,3,5,476.71,6.34,0.401,477.111
Shadowing,String-4_Panel-12,Low,9,Remove Obstruction,Clean Panel,204,Sunny,2023-01-05 19:00:00,4,12,42.68,0.56,0.025,42.705
Open Circuit,String-1_Panel-4,Medium,6,Replace Wiring,Replace Connector,899,Sunny,2023-01-05 19:00:00,1,4,143.59,1.74,0.092,143.68200000000002
Short Circuit,String-1_Panel-19,Medium,9,Replace Fuse,Replace Fuse,418,Rainy,2023-01-05 20:00:00,1,19,62.05,0.49,0.027,62.077
Hotspot,String-6_Panel-17,Medium,8,Inspect Cells,Replace Panel Section,681,Rainy,2023-01-05 20:00:00,6,17,87.46,1.16,0.057,87.517
Shadowing,String-4_Panel-19,Medium,3,Remove Obstruction,Inspect Junction Box,862,Cloudy,2023-01-05 21:00:00,4,19,44.09,0.56,0.032,44.122
Open Circuit,String-4_Panel-6,Critical,2,Replace Module,Remove Obstruction,882,Rainy,2023-01-05 21:00:00,4,6,566.37,6.28,0.34,566.71
Short Circuit,String-8_Panel-5,Low,3,Inspect Junction Box,Inspect Junction Box,934,Sunny,2023-01-05 23:00:00,8,5,71.95,1.23,0.055,72.00500000000001
Hotspot,String-8_Panel-18,Medium,14,Replace Panel Section,Inspect Cells,980,Cloudy,2023-01-05 23:00:00,8,18,321.78,4.08,0.201,321.981
Open Circuit,String-10_Panel-11,Critical,11,Replace Module,Replace Module,924,Sunny,2023-01-06 00:00:00,10,11,484.82,6.24,0.357,485.177
Open Circuit,String-1_Panel-18,Critical,12,Replace Module,Replace Module,337,Rainy,2023-01-06 00:00:00,1,18,533.06,5.4,0.255,533.3149999999999
Open Circuit,String-7_Panel-1,Low,9,Replace Connector,Tighten Connection,583,Rainy,2023-01-06 00:00:00,7,1,75.07,0.87,0.037,75.107
Hotspot,String-1_Panel-5,Medium,7,Inspect Cells,Inspect Cells,283,Sunny,2023-01-06 01:00:00,1,5,83.01,1.23,0.058,83.06800000000001
Short Circuit,String-10_Panel-2,Critical,12,Replace Module,Replace Module,367,Rainy,2023-01-06 02:00:00,10,2,479.98,6.25,0.368,480.348
Shadowing,String-2_Panel-7,Critical,9,Reinstall Module,Tighten Connection,224,Cloudy,2023-01-06 02:00:00,2,7,195.45,3.07,0.152,195.60199999999998
Open Circuit,String-7_Panel-11,Medium,2,Replace Wiring,Replace Connector,823,Sunny,2023-01-06 03:00:00,7,11,145.93,2.26,0.118,146.048
Hotspot,String-7_Panel-14,Critical,12,Replace Module,Replace Connector,473,Rainy,2023-01-06 03:00:00,7,14,520.26,7.87,0.427,520.687
Hotspot,String-9_Panel-15,Low,8,Clean Panel,Clean Panel,433,Cloudy,2023-01-06 05:00:00,9,15,33.44,0.3,0.019,33.458999999999996
Hotspot,String-1_Panel-14,Medium,3,Inspect Cells,Inspect Cells,527,Rainy,2023-01-06 08:00:00,1,14,84.61,0.98,0.06,84.67
Hotspot,String-7_Panel-16,Medium,12,Inspect Cells,Inspect Cells,477,Rainy,2023-01-06 09:00:00,7,16,87.93,0.9,0.048,87.97800000000001
Shadowing,String-2_Panel-11,Critical,7,Replace Module,Inspect Cells,666,Sunny,2023-01-06 09:00:00,2,11,545.48,6.48,0.403,545.883
Short Circuit,String-6_Panel-16,Medium,12,Replace Fuse,Remove Obstruction,767,Rainy,2023-01-06 10:00:00,6,16,61.76,0.48,0.024,61.784
Short Circuit,String-2_Panel-4,Critical,2,Replace Module,Remove Obstruction,456,Sunny,2023-01-06 10:00:00,2,4,507.16,6.67,0.399,507.559
Open Circuit,String-6_Panel-2,Medium,5,Replace Wiring,Clean Panel,788,Cloudy,2023-01-06 11:00:00,6,2,145.97,1.52,0.095,146.065
Shadowing,String-9_Panel-12,Low,13,Remove Obstruction,Replace Module,796,Rainy,2023-01-06 12:00:00,9,12,55.46,0.55,0.031,55.491
Hotspot,String-2_Panel-18,Medium,4,Inspect Cells,Replace Module,512,Rainy,2023-01-06 13:00:00,2,18,74.78,0.64,0.042,74.822
Shadowing,String-1_Panel-11,Critical,8,Replace Module,Reinstall Module,741,Rainy,2023-01-06 16:00:00,1,11,620.69,6.31,0.312,621.0020000000001
Short Circuit,String-3_Panel-8,Critical,11,Replace Module,Reinstall Module,899,Rainy,2023-01-06 16:00:00,3,8,539.35,4.88,0.25,539.6
