Timestamp,String_ID,G_front,G_rear,T_cell,Voltage_V,Current_A,Label
'2025-01-15 12:06:24,1,997.73,149.66,51.53,81.6,6.3987,Healthy
'2025-01-05 13:34:18,1,864.38,129.66,46.99,28.67,12.5319,Healthy
'2025-01-27 11:54:37,2,945.83,141.87,49.0,72.57,0.8762,Shading
'2025-01-02 15:55:47,2,388.8,58.32,33.08,13.18,5.6469,Healthy
'2025-01-22 12:20:54,2,986.28,147.94,50.47,21.18,15.1749,Healthy
'2025-01-24 15:20:51,2,483.75,72.56,34.91,35.02,0.385,Open Circuit
'2025-01-26 09:41:32,1,692.01,103.8,39.41,8.04,12.1542,Short Circuit
'2025-01-08 11:29:07,2,937.27,140.59,46.64,58.66,14.7541,Short Circuit
'2025-01-18 09:26:08,2,708.7,106.31,41.81,32.42,9.3669,Healthy
'2025-01-04 07:26:05,2,285.2,42.78,30.22,5.71,0.2268,Open Circuit
'2025-01-29 08:19:14,1,439.17,65.88,34.83,12.68,6.5457,Healthy
'2025-01-18 09:29:43,2,709.08,106.36,43.11,21.75,10.4518,Healthy
'2025-01-29 08:08:00,1,415.63,62.34,31.95,12.31,6.1717,Healthy
'2025-01-19 14:51:49,1,602.08,90.31,39.25,46.26,0.6039,Shading
'2025-01-10 15:49:32,2,437.88,65.68,32.71,14.23,7.6676,Short Circuit
'2025-01-08 14:22:46,2,719.56,107.93,42.42,1.06,11.5025,Healthy
'2025-01-20 11:58:15,1,917.49,137.62,48.48,8.89,14.5878,Healthy
'2025-01-18 13:09:26,1,865.44,129.82,47.33,28.97,7.5133,Shading
'2025-01-09 07:47:42,2,436.56,65.48,35.09,0.3,4.174,Shading
'2025-01-12 07:30:04,1,374.73,56.21,30.01,18.72,4.8414,Healthy
'2025-01-11 14:55:26,2,566.35,84.95,35.24,47.89,0.0,Short Circuit
'2025-01-17 16:43:39,1,357.17,53.58,30.61,7.56,3.2934,Shading
'2025-01-28 16:49:10,1,286.13,42.92,28.02,1.82,2.7191,Shading
'2025-01-04 10:28:22,2,879.29,131.89,45.22,8.05,13.9747,Healthy
'2025-01-23 09:19:12,1,669.32,100.4,42.07,13.71,10.3293,Healthy
'2025-01-29 13:10:36,1,883.37,132.51,45.47,6.99,8.4401,Shading
'2025-01-26 09:16:55,1,646.42,96.96,38.05,54.36,0.0,Short Circuit
'2025-01-14 14:07:51,1,719.63,107.94,43.19,63.38,4.0622,Healthy
'2025-01-08 13:30:05,1,802.7,120.4,42.65,24.14,11.8612,Healthy
'2025-01-07 12:21:52,1,913.46,137.02,48.22,25.33,0.7321,Open Circuit
'2025-01-18 08:12:23,1,497.65,74.65,33.63,13.37,8.7179,Short Circuit
'2025-01-04 14:41:41,2,648.97,97.35,38.85,38.82,7.3586,Healthy
'2025-01-19 11:58:01,1,901.06,135.16,47.94,74.25,0.0,Short Circuit
'2025-01-18 08:12:18,2,434.38,65.16,31.43,17.43,3.638,Shading
'2025-01-02 11:36:39,2,896.23,134.43,48.03,66.93,0.0,Short Circuit
'2025-01-21 14:37:41,1,624.36,93.65,39.63,43.7,6.0099,Healthy
'2025-01-14 15:45:47,1,472.09,70.81,32.67,43.4,0.3153,Shading
'2025-01-08 14:27:37,1,648.0,97.2,39.17,66.74,0.1738,Shading
'2025-01-11 08:03:04,1,425.0,63.75,34.58,20.52,0.3386,Open Circuit
'2025-01-04 11:12:44,1,869.93,130.49,48.04,12.76,0.6972,Open Circuit
'2025-01-08 08:29:33,1,458.13,68.72,35.56,50.54,0.0445,Shading
'2025-01-16 14:27:11,1,723.26,108.49,43.31,40.0,1.0336,Shading
'2025-01-12 10:59:58,1,883.32,132.5,46.35,12.85,13.8891,Healthy
'2025-01-18 11:09:41,1,905.72,135.86,48.11,78.76,0.0,Short Circuit
'2025-01-09 08:01:47,2,395.29,59.29,32.9,3.32,0.3147,Open Circuit
'2025-01-09 14:31:28,2,727.04,109.06,42.2,79.33,0.0,Short Circuit
'2025-01-23 14:18:27,1,716.04,107.41,42.43,1.61,0.5724,Open Circuit
'2025-01-26 09:49:36,2,737.85,110.68,41.87,35.76,5.6968,Shading
'2025-01-14 15:49:09,1,489.98,73.5,32.89,46.04,2.4833,Healthy
'2025-01-03 10:08:53,1,832.31,124.85,45.16,71.8,0.6441,Open Circuit
'2025-01-18 14:05:54,2,793.68,119.05,45.17,20.7,7.1827,Shading
'2025-01-28 08:54:58,1,564.01,84.6,37.65,20.97,0.4499,Open Circuit
'2025-01-18 10:59:53,2,930.38,139.56,47.3,35.63,13.0022,Healthy
'2025-01-19 14:42:34,2,604.3,90.65,37.31,57.65,0.0,Short Circuit
'2025-01-28 13:29:48,2,872.16,130.82,48.06,43.02,6.6124,Shading
'2025-01-27 13:05:20,2,850.21,127.53,44.04,49.97,9.6117,Healthy
'2025-01-28 09:24:38,1,654.33,98.15,41.32,10.33,0.5228,Open Circuit
'2025-01-22 16:46:47,1,257.81,38.67,26.57,24.27,0.1969,Open Circuit
'2025-01-16 12:35:05,2,924.59,138.69,48.07,12.16,8.7574,Shading
'2025-01-28 12:10:24,2,949.59,142.44,46.62,74.43,7.078,Healthy
'2025-01-01 08:59:44,2,592.39,88.86,37.44,60.23,1.6461,Healthy
'2025-01-08 12:18:16,1,973.55,146.03,48.96,89.16,0.4857,Shading
'2025-01-16 08:59:09,1,586.29,87.94,36.82,3.79,10.2853,Short Circuit
'2025-01-15 08:52:49,1,586.81,88.02,36.8,25.16,4.7938,Shading
'2025-01-01 11:28:11,1,910.93,136.64,49.2,19.01,16.0691,Short Circuit
'2025-01-15 15:54:32,1,476.74,71.51,33.94,8.9,4.433,Shading
'2025-01-09 08:23:29,2,524.78,78.72,36.43,14.87,4.7028,Shading
'2025-01-06 11:18:08,2,901.06,135.16,45.96,49.79,10.6284,Healthy
'2025-01-06 07:05:22,1,269.07,40.36,28.06,4.51,2.5117,Shading
'2025-01-15 13:49:04,1,839.57,125.94,46.79,34.41,14.7945,Short Circuit
'2025-01-28 16:20:49,2,330.79,49.62,28.73,28.9,0.0,Short Circuit
'2025-01-26 13:37:45,1,825.84,123.88,44.93,25.97,0.6609,Open Circuit
'2025-01-20 08:48:41,1,610.57,91.58,37.4,20.71,5.306,Shading
'2025-01-21 09:47:43,1,740.65,111.1,41.37,82.56,0.0,Short Circuit
'2025-01-09 11:00:27,2,928.48,139.27,47.02,3.72,8.9127,Shading
'2025-01-23 10:58:59,2,935.66,140.35,47.35,25.01,16.4917,Short Circuit
'2025-01-14 16:47:23,1,334.89,50.23,31.31,16.52,2.6112,Shading
'2025-01-11 07:39:37,2,345.23,51.78,31.55,6.5,6.0421,Short Circuit
'2025-01-16 15:35:26,1,483.03,72.45,33.16,51.58,0.9163,Healthy
'2025-01-19 09:06:56,2,599.93,89.99,36.84,24.33,10.5247,Short Circuit
'2025-01-02 15:16:06,1,566.05,84.91,38.95,51.64,0.3597,Shading
'2025-01-01 12:54:35,1,939.05,140.86,49.21,42.86,0.753,Open Circuit
'2025-01-30 13:55:25,2,777.45,116.62,42.34,50.01,0.9758,Shading
'2025-01-22 08:04:34,1,432.43,64.86,34.2,8.86,6.6654,Healthy
'2025-01-17 10:20:09,1,841.39,126.21,43.9,73.99,0.5559,Shading
'2025-01-20 13:32:18,2,881.87,132.28,45.88,18.16,15.5335,Short Circuit
'2025-01-19 15:23:19,2,569.38,85.41,38.66,44.89,0.452,Open Circuit
'2025-01-13 14:10:32,1,713.44,107.02,42.23,18.38,12.5463,Short Circuit
'2025-01-20 10:37:21,2,851.77,127.77,44.24,38.68,0.6815,Open Circuit
'2025-01-12 12:19:05,1,931.25,139.69,46.04,73.83,0.0,Short Circuit
'2025-01-10 11:58:16,1,940.19,141.03,47.45,35.82,13.1568,Healthy
'2025-01-16 13:18:16,1,906.13,135.92,47.78,19.65,8.3559,Shading
'2025-01-26 13:39:22,2,829.84,124.48,45.93,60.44,0.8703,Shading
'2025-01-06 11:18:46,1,944.25,141.64,49.19,44.83,7.2801,Shading
'2025-01-24 12:53:39,1,933.08,139.96,48.25,24.65,16.4529,Short Circuit
'2025-01-09 07:18:44,2,298.49,44.77,28.57,4.19,0.2371,Open Circuit
'2025-01-05 09:09:00,2,622.09,93.31,37.99,23.66,8.7726,Healthy
'2025-01-21 08:17:19,2,499.7,74.96,36.57,14.31,8.7654,Short Circuit
'2025-01-19 15:05:33,1,590.94,88.64,36.8,45.81,0.0,Short Circuit
'2025-01-16 15:59:23,1,388.79,58.32,31.63,22.03,0.3093,Open Circuit
'2025-01-10 07:07:42,1,295.0,44.25,28.54,11.68,2.4865,Shading
'2025-01-14 14:37:39,1,642.68,96.4,37.76,29.4,8.5272,Healthy
'2025-01-17 09:51:49,2,758.19,113.73,41.07,8.28,7.1971,Shading
'2025-01-21 13:20:51,1,901.65,135.25,47.02,16.87,14.0066,Healthy
'2025-01-15 10:45:58,2,845.3,126.8,46.66,7.67,8.0667,Shading
'2025-01-19 10:58:10,1,862.34,129.35,46.44,7.43,15.1933,Short Circuit
'2025-01-04 14:35:10,2,632.09,94.81,37.58,30.59,11.0925,Short Circuit
'2025-01-28 16:00:45,2,447.61,67.14,34.08,20.43,5.9821,Healthy
'2025-01-01 16:17:33,2,394.69,59.2,31.84,23.84,0.5447,Shading
'2025-01-03 09:55:46,2,765.42,114.81,44.7,67.26,4.2559,Healthy
'2025-01-04 11:19:55,2,904.04,135.61,49.02,5.53,14.4491,Healthy
'2025-01-10 12:44:57,2,895.65,134.35,48.37,97.3,0.0,Healthy
'2025-01-05 11:26:54,1,915.0,137.25,48.57,24.19,0.7335,Open Circuit
'2025-01-20 16:26:54,2,398.31,59.75,33.77,32.54,3.0941,Healthy
'2025-01-16 09:56:34,2,748.69,112.3,44.03,41.49,1.0665,Shading
'2025-01-24 13:41:54,1,858.9,128.83,47.39,88.36,0.0,Short Circuit
'2025-01-18 10:01:39,1,812.04,121.81,45.75,71.27,0.622,Open Circuit
'2025-01-26 14:07:44,1,775.37,116.31,41.52,17.1,0.6196,Open Circuit
'2025-01-17 13:11:49,1,855.64,128.35,46.82,90.48,0.0,Short Circuit
'2025-01-11 15:49:34,2,424.56,63.68,32.45,48.94,0.0,Shading
'2025-01-24 15:20:10,1,508.38,76.26,35.4,18.73,8.9128,Short Circuit
'2025-01-24 15:19:28,1,503.08,75.46,34.46,13.23,0.4007,Open Circuit
'2025-01-20 13:23:46,1,863.11,129.47,45.04,26.59,0.6908,Open Circuit
'2025-01-14 11:18:51,2,928.56,139.28,49.46,12.88,8.7841,Shading
'2025-01-02 12:16:25,1,913.17,136.97,46.24,69.6,0.0,Short Circuit
'2025-01-08 12:33:17,2,928.75,139.31,49.73,8.4,16.3873,Short Circuit
'2025-01-23 08:42:01,1,534.65,80.2,34.1,39.72,4.8486,Healthy
'2025-01-28 13:18:30,2,859.02,128.85,43.85,75.16,4.805,Healthy
'2025-01-02 10:25:12,2,869.38,130.41,44.47,43.78,15.3038,Short Circuit
'2025-01-09 09:28:00,2,704.96,105.74,40.01,37.27,5.2084,Shading
'2025-01-16 16:27:04,1,299.98,45.0,30.97,22.96,0.3215,Shading
'2025-01-21 10:40:56,1,886.52,132.98,48.55,65.48,0.7079,Open Circuit
'2025-01-11 08:36:40,1,479.09,71.86,33.54,36.95,4.1187,Healthy
'2025-01-27 12:42:22,2,925.02,138.75,47.04,16.22,8.6543,Shading
'2025-01-06 12:42:34,1,895.5,134.32,45.95,27.71,13.1558,Healthy
'2025-01-13 16:48:16,1,318.55,47.78,30.09,30.85,1.5174,Healthy
'2025-01-15 16:25:40,1,319.13,47.87,28.79,8.08,0.2536,Open Circuit
'2025-01-02 09:25:40,2,713.46,107.02,39.53,75.81,0.8697,Healthy
'2025-01-26 13:14:59,2,886.02,132.9,46.41,75.75,0.6281,Shading
'2025-01-24 14:53:46,1,635.81,95.37,37.34,49.27,5.2561,Healthy
'2025-01-26 09:01:42,2,627.8,94.17,40.73,66.76,0.2276,Open Circuit
'2025-01-12 11:40:21,2,949.59,142.44,50.46,57.56,0.7617,Open Circuit
'2025-01-12 09:28:26,2,660.02,99.0,41.68,34.26,8.2115,Healthy
'2025-01-16 07:12:47,1,271.6,40.74,27.48,20.74,0.2962,Shading
'2025-01-03 12:55:00,2,896.87,134.53,48.77,48.38,1.286,Shading
'2025-01-20 13:22:55,2,880.51,132.08,45.72,92.93,0.0,Short Circuit
