vdc1,vdc2,idc1,idc2,irradiance,temperature,fault_label,power_string1,power_string2,total_power,voltage_ratio,current_ratio
259.048,2.1351,8.8338,0.0465,935.825,50.0041,Open Circuit,2288.3782224,0.09928215,2288.47750455,121.3282750222472,189.9741935483871
1.5959,269.922,0.1159,8.6921,960.084,52.0769,Open Circuit,0.18496481,2346.1890162000004,2346.3739810100005,0.00591244878149984,0.013333946917315724
262.353,2.1675,9.1115,0.0462,955.865,42.7658,Open Circuit,2390.4293595,0.10013849999999999,2390.529498,121.03944636678202,197.2186147186147
265.166,2.1893,9.0793,0.0457,956.919,42.0372,Open Circuit,2407.5216638,0.10005100999999998,2407.62171481,121.11907915772166,198.67177242888403
1.6662,269.082,0.1066,9.0287,987.858,44.7161,Open Circuit,0.17761691999999998,2429.4606534,2429.63827032,0.006192164470310166,0.01180679389059333
1.633,271.512,0.117,8.5382,930.255,48.3326,Open Circuit,0.191061,2318.2237584,2318.4148194,0.0060144671322077846,0.013703122437984588
264.958,2.1033,8.1429,0.0415,856.434,43.133,Open Circuit,2157.5264982,0.08728695,2157.61378515,125.97251937431656,196.21445783132526
265.92,203.597,9.2489,9.0977,992.002,43.3558,Short-Circuit,2459.4674880000002,1852.2644269,4311.7319149,1.3061096185110783,1.0166195851698783
259.984,198.646,8.563,8.3912,909.2,51.0541,Short-Circuit,2226.242992,1666.8783151999999,3893.1213072,1.3087804436031936,1.0204738297263802
258.625,198.49,8.7389,8.4464,914.119,48.0394,Short-Circuit,2260.0980124999996,1676.5259360000002,3936.6239484999996,1.30296236586226,1.0346301382837657
264.302,203.531,9.2265,9.009,988.048,44.1097,Short-Circuit,2438.5824030000003,1833.610779,4272.193182000001,1.2985835081633756,1.0241425241425242
262.878,201.562,9.3506,9.1556,992.614,43.413,Short-Circuit,2458.0670268,1845.4210472,4303.488074,1.3042041654676972,1.0212984402988334
267.741,205.409,8.8172,8.6313,925.821,40.9749,Short-Circuit,2360.7259452,1772.9467016999997,4133.6726469,1.3034531106231957,1.021537891163556
259.914,199.879,8.6899,8.3921,913.987,47.7968,Short-Circuit,2258.6266686,1677.4045558999999,3936.0312244999996,1.3003567158130669,1.0354857544595513
262.418,202.953,8.9766,8.7014,951.344,47.0726,Short-Circuit,2355.6214188,1765.9752342,4121.596653,1.292998871659941,1.0316270944905417
257.161,199.566,9.1332,8.8283,954.18,47.1758,Short-Circuit,2348.7028452,1761.8285178,4110.531363,1.2886012647444955,1.0345366605122164
250.107,198.895,8.8635,8.3077,917.211,52.7674,Short-Circuit,2216.8233945,1652.3599915000002,3869.1833860000006,1.2574825913170264,1.06690178990575
267.838,335.034,7.6116,1.2506,801.802,42.3269,Shadowing,2038.6757208000001,418.99352039999997,2457.6692412,0.7994352811953415,6.08635854789701
315.539,286.202,0.3178,0.1329,38.9521,22.691,Shadowing,100.2782942,38.036245799999996,138.31454,1.102504524776207,2.391271632806622
264.296,352.559,4.7372,0.1071,584.768,18.592,Shadowing,1252.0230112,37.7590689,1289.7820801,0.7496504131223426,44.23155929038282
278.059,284.266,4.7754,3.5451,507.955,34.9235,Shadowing,1327.8429486000002,1007.7513966000001,2335.5943452,0.9781648174597033,1.347042396547347
267.964,322.888,4.0035,0.9106,506.155,26.6632,Shadowing,1072.793874,294.02181279999996,1366.8156867999999,0.8298976734966924,4.396551724137931
255.092,320.204,7.6741,1.6067,797.204,51.3532,Shadowing,1957.6015172000002,514.4717668000001,2472.073284,0.7966546326716718,4.776311694778117
291.001,263.387,5.0334,4.9422,549.734,28.7376,Shadowing,1464.7244334,1301.7112313999999,2766.4356648,1.1048419246204253,1.018453320383635
316.981,314.232,2.0541,0.2629,343.725,21.8921,Shadowing,651.1106721,82.61159280000001,733.7222649,1.0087483133480994,7.8132369722327875
266.395,301.986,8.1654,6.1989,845.535,40.6828,Shadowing,2175.221733,1871.9810154,4047.2027484,0.8821435430781559,1.3172337027537144
274.491,257.687,3.8788,3.5861,428.258,40.6877,Shadowing,1064.6956908,924.0913507,1988.7870415,1.0652108953885915,1.081620702155545
